ITGA3	COMP
ENTPD8	GUCY1B3
PIK3CG	CD19
UGT1A1	PRMT5
PRKCG	PLCD1
ALDH9A1	MAOB
CRK	ITGA5
PIK3R1	GAB2
QARS	GFPT2
UGT1A3	CYP2E1
MAPK1	MAP2K2
GUCY2D	NME2
PDE4B	AMPD2
CYP2C8	PLA2G5
PKM	PNPT1
GLB1	HSD3B7
ALDH3A1	MAOB
MAPK10	NFATC4
P4HA3	ALDH4A1
UGT1A9	AKR1D1
SOCS4	IL15RA
PRKX	ADCY7
MTHFD1L	ALDH1L1
GART	DHFR
IFNA7	PSME3
MTHFD2	ALDH1L1
HSD17B2	UGT1A3
UGT2B10	PRMT7
CCR3	CCL13
MYL2	MYH9
ENTPD5	GMPR
CTPS1	NUDT2
ITGA4	RASSF5
EPHX1	CYP3A5
LRP6	FZD8
ACLY	ACO2
GUSB	UGT1A5
ALPL	ATP13A2
SHC3	EGFR
ALOX5	CYP2U1
INPP5B	PIK3CB
CACNA2D1	RASGRP4
ENTPD6	AMPD2
ACTB	MYL2
CHKB	PCYT1B
CYP2C18	GPX5
PIKFYVE	PIK3C2A
PLD2	DGKG
PIK3R3	VCAM1
MCM7	ORC4
PRODH	ALDH4A1
PDE4A	AMPD1
KRAS	RALGDS
ITGB7	COL4A2
